"album","lyrics","title","url"
"Slanted And Enchanted (1992)","I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
Imagine if you were Herr Barockter, alias and nobleman, son of son of sky, and of scion
Part of his rich inheritance parceled and generous divorce, sentence forthwith being
Certain blocks of land and living quarters deemed by all gentlemen and wives thereof
To be grossly humane and frankly, quite undirty
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
Herr Barockter, in his enviable good taste, tries quick escape gambit via local periodicals
But no takers land an enviable station in the conduit between two selves
A veritable no-man's-land, array of the flophouse cardboard materials and carbon-monoxide wallpaper
All his brig-deck Torino boys ask is irrelevant
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
Unable to bear the scandal, Ray, philanthropist, rents low-down scab house in conduit
Herr Barockter offers said land for a song, but no one wants to sing
In an attempt to retain social privileges, yet mask it as goodwill, he says to the conduit members, ""Take this rotten old tree and make it bear fruit.""
Cheers erupted throughout the thin settlement; an Italian male was heard to say, ""Between here and there is better than either here or there!""
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin' and I'll try
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin'
I'm tryin', I'm tryin', I'm tryin'","Conduit For Sale!","http://lyrics.fandom.com/wiki/Pavement:Conduit_For_Sale!"
"Terror Twilight (1999)","So much for destiny, a pinprick on my knee
The frost you paint across our dead affair
I sensed the toxic aura from the second we touched
You were stitched-up venom and I was the cursed from the Vedic
Time is a one-way track and I am not coming back
I dream in beige, why'd you lead me so far now?
Time tired, you're tainted through, wind songs and substitutes
I dream in beige, why'd you lead me so far now?
The afterlife is steep, we wander and retreat
And everyone is after us
Skirt the gaunt street hawkers with the black lemonade
Keep an arrow trained on their conflicted minds 'cause they stutter
Time is a one-way track and I am not coming back
I dream in beige, why'd you lead me so far now?
Time tired, you're tainted fruit, wind, songs and substitutes
I dream in beige, why'd you lead me so far now?
I bleed in beige, why'd you lead me so far now?
I bleed in beige, why'd you lead me so far now?
I bleed in beige, why'd you lead me so far now?
I bleed in beige, why'd you lead me so far now?","Cream Of Gold","http://lyrics.fandom.com/wiki/Pavement:Cream_Of_Gold"
"Crooked Rain, Crooked Rain (1994)","Darling don't you go and cut your hair
Do you think it's gonna make him change?
I'm just a boy with a new haircut
And that's a pretty nice haircut
Charge it like a puzzle, hitmen wearing muzzles
Hesitate, you die
Look around, around, the second drummer drowned
His telephone is found
Music scene's crazy
Bands start up each and every day
I saw another one just the other day
A special new band
I remember lying, I don't remember a line
I don't remember a word but I don't care
I care, I really don't care
Did you see the drummer's hair?
Advertising looks and chops a must, no big hair!
Songs mean a lot when songs are bought and so are you
Bitch right down to the practice room
Attention and fame, a career, career, career, career","Cut Your Hair","http://lyrics.fandom.com/wiki/Pavement:Cut_Your_Hair"
"Brighten The Corners (1997)","The actress is always breaking things
The things you made she took you for
And I'm so tired I'd be lying
I hope the prairie buys you more
The fitness coast is growing near
The shores they don't stay blond this year
That's why the marblelawn stays clear and warm in time
I want to stay but my time is wasting
Magic lands call my name
They want to fire a missile launcher to the sky
I know I need to stay
And we all know that by staying here
It will be a good high this year
So what's the use of staying there
If you've got no use for time
The fitness coast is growing near
The shores they don't stay blond all year
The continent moves with growing fear
It's all for expensive lawn
I want to stay but my time is wasting
Magic lands call my name
They want to fire a missile launcher to the sky
I know I need to stay
I know I need to stay and fight the day
I know I need to stay and fight the day
I know I need to stay and fight the day","Date With Ikea","http://lyrics.fandom.com/wiki/Pavement:Date_With_Ikea"
"Westing (By Musket And Sextant) (1993)","Maybe she is
Maybe she's not
Maybe we's
We's hack cough
Wheeze hack cough
Debris slide
Maybe he is
Maybe he's not
Maybe I's
I's in the socket
Eyes in the socket
So I'm gonna sock it
Debris slide!","Debris Slide","http://lyrics.fandom.com/wiki/Pavement:Debris_Slide"
"Unknown","Parts in French:
Autre musique, la basse haut.
Le passager assise de moi.(??)
La nuit est tombée dans l'hyper-espace.
Le temps a passé,
... A brisé notre existence.
Or:
A-t-il brisé notre existence?
Or:
... Brille notre existence (??)
Mais savait-on encore ce qu'il veut?
La seule réponse est la menace de destruction des Etats-unis.","Decouvert De Soleil","http://lyrics.fandom.com/wiki/Pavement:Decouvert_De_Soleil"
"Westing (By Musket And Sextant) (1993)","Instrumental","Drive-By Fader","http://lyrics.fandom.com/wiki/Pavement:Drive-By_Fader"
"Rattled By La Rush (1995)","Hey, do you need a reason
Is there a separate season
From which to come out of the spring
I wait all summer long
And then the winter's long
Then it's longer than afterwards
I don't need a timekeeper
I don't need an interlocuter
And baby you'll look a little cuter
Day by day, day by day
If you need a trademark for your sound
You'd better look around
Treat it like a window not a do-o-or
And we'll get some more ...yeah
Baby I could be a squirt
Loosen up your magic dirt
Waiting for the excellent coming of age
Maybe then you'd squirt along
Squirt along, squirt along
Whattcha wanna do
So easily fooled
You are so easily fooled
So easily fooled
Come on now, marry me
Please marry me
Hey, I just want some respect
I might be enough to cover you up
And hold you down
Next to me and then run you around
Look at me once you might see that the color is red
Blurring up your eyes and your head
Coppertones and empire home
Everybody needs a home
Takes centuries to build
And seconds to fall
I wait so patiently for you to fall fall fall fall
But you never fall
Jimmy coconut
I am the coconut, etc
Buying the coconut, etc","Easily Fooled","http://lyrics.fandom.com/wiki/Pavement:Easily_Fooled"
"Unknown","This is a song about lonely edward franklin ames, out of a job, confused. steadies himself as a taker. has his two children shoving small plates under
And one case separated him from a decent stress-filled life and they're keeping it somewhere in a small museum outside copenhagen. looks off to the ocean. respect to the vikings. caucasian warriors","Ed Ames","http://lyrics.fandom.com/wiki/Pavement:Ed_Ames"
"Crooked Rain, Crooked Rain (1994)","Well you greet the tokens and stamps
Underneath the fake oil-burning lamps
In the city we forgot to name
The concourse is a four-wheeled shame
And the courthouse's double-breast
I'd like to check out your public protests
Why you're complaining, ta
Those who sleep with electric guitars
Range roving with the cinema stars
And I wouldn't want to shake their hands
'Cause they're in such a high-protein land
Because there's forty different shades of black
So many fortresses and ways to attack
So why you complaining, ta?","Elevate Me Later","http://lyrics.fandom.com/wiki/Pavement:Elevate_Me_Later"
"Brighten The Corners (1997)","Old intuition, on your dock we're fishing
Come on now, give us a grade
A for effort and a B for delivery
C for devotion when the world starts encroaching on your plans
Where is the savoir, where is the savoir?
He's not here right now
Where is the savoir?
Where is the savoir-faire?
Embassy row, the fumes they lay low
On lanes that are wide, where the limousines glide
On the wrought-iron gates and the bone china plates
And don't forget your manners where the anthems play
In a netherworld of foreign feeds, in a netherworld of foreign feeds
In a netherworld of foreign feeds
I'm gonna take the crown, I'm gonna take the crown
I'm gonna take the crown, I'm gonna take the crown
Maids, they are frisked and asses are kissed
I needed a visa, I bought off a geezer
Political favors could make you a savior
In an open corner where the news is late
In a netherworld of foreign feeds, in a netherworld of foreign feeds
In a netherworld of foreign feeds
I'm gonna take the crown, I'm gonna take the crown
I'm gonna take a crown, I'm gonna take a crown
I need to get born, I need to get dead
I'm sick of the forms, I'm sick of being misread
By men in dashikis and their leftist weeklies
Colonized wrath, their shining new path
The converted castle of moorish design
If you want to stay the weekend, well, we wouldn't mind
The plots they are hatching, the surface is scratching
In the open corner where the news is late
In a netherland of foreign beads, in a netherland of foreign beads
In a netherland of foreign beads I'm gonna take you down, I'm gonna take the crown
I'm gonna take the crown, I'm gonna take the crown
I'm gonna take the crown, I'm gonna take the crown
I'm gonna take the crown, I'm gonna take the crown","Embassy Row","http://lyrics.fandom.com/wiki/Pavement:Embassy_Row"
"Wowee Zowee (1995)","The expedition has fifty goes, forty roses and you blow
Make your way way way way way way far away
Where you stay, where you play
Where do you play?
Can you say what you need when you really need it?
Are you gonna feed it?
Lady, I know, know, know you don't
Need no license for your petty, petty, petty crime
Around the circle, luxury is so tough
So toughen up, toughen up, I'm not tough enough
Tonight we interact like separate worlds
Spoken barriers you hurl, saw you curl","Extradition","http://lyrics.fandom.com/wiki/Pavement:Extradition"
"Rattled By La Rush (1995)","Don't you disrespect me, woman
I'm an animal with teeth
And a scorpion don't have teeth
Whenever you misdirect me, mama
You're misdirecting a person
You wouldn't wanna misdirect
Save my back
Leave me, darling
I'm no woman
I'm no woman
I am a man
Check me out
See me beg
Nothing left but my scorpion legs","False Skorpion","http://lyrics.fandom.com/wiki/Pavement:False_Skorpion"
"Slanted And Enchanted (1992)","Fame throwa pass out the gold, the diamond watch, the last reward
All the things we had before you sold us out and took it all
Head-borne cries from zenith sluts, astral rites from dead-end ruts
And these ends are sickened wars, and the ends were sickened wars
He's one of our nation's spies
He's one of our first recruits
I click with her leather thighs
He's one of our first recruits
How can you know? In the distance lies a grower
Named Rudolph, king fame throwa, son of groupie, bedworn sexan
Spent his cash convincing us that the desert was a starscape
Took our lives for satellites so we could cry, naked, naked, foul
He's one of our nation's spies
He's one of our first recruits
I click with her leather thighs
He's one of our first recruits","Fame Throwa","http://lyrics.fandom.com/wiki/Pavement:Fame_Throwa"
"Unknown","By: Brett M. Baker
9/11/03
I'm running away from you (but in my mind)<<<<<<<This is the chorus
You're to damn fast (I can't get away)
I try to block you out (you find another way)
All the things you did (didn't phase me)
There's nothing you can do to (amaze me)
I look into your eyes (I see nothing)
Why did I stay (who fucking Knows).
Now I know the troubles (weren't worth it)
I wish that I knew (a lot earlier)
You treated me like shit (almost all the time)
You made me feel like shit (on the inside)
I climbed out on a limb (you cut it down)
So you could watch me fall (I hope its far from you)
I moving on to better things, better people, better situations,
I'm moving to a better place (that better place is far from you).
When the fake tears start to fill your eyes (I will not care)
When you need a hug from someone (I will not be there)
When you need a shoulder to lean on (my shoulder; I won't share)
When you need someone to call (don't you even dare)
Chorus 2x w/ fading","Far From You","http://lyrics.fandom.com/wiki/Pavement:Far_From_You"
"Wowee Zowee (1995)","Rotten device, I'll say it twice
I'm too much, I'm too much comforted here
Costs too much, too much, we'll leave you
Everywhere eyes, nowhere to die, no place to shove your sharpened heel
I'm looking, looking for
A tired face in case you wanted to go
I know
I'm breathing in to the end
Calling the bluffs, talking so tough
Goodbye to the ugly steeple fear
Good times forever after, I'm just a man, you see who I am
I'm binding my hooks and open the books
Dirty black hearts
Angel of Corpus Christi
You're so misty
Tell me what I want to hear
I know I'm reeling in
I know I'm reeling in
To the end, to the end
To the end, to the end
I know I'll never know
I know I'll never know","Father To A Sister Of Thought","http://lyrics.fandom.com/wiki/Pavement:Father_To_A_Sister_Of_Thought"
"Unknown","Every building same height
Every street a straight line
Two colors, yellow and blue
Cheerlead single-file
Perfect smiles, unaffected
And you won't forget
Our colors blue
No, you won't forget it
Twenty miles westward
Home of the Redbirds
Two colors crimson, blue
Open up your purses
For the boys who reimburse us
With a goal, line-stand
On fourth and two
And that goal, line-stand, ha!
Summer's dry and fallow
Reservoirs are shallow
Spillways unexposed
It's never been inspected
When the government's elected
That the fields
Will turn to yellow, too (ooh)
Now the fields will turn...","Feed Them To The Lions (Linden)","http://lyrics.fandom.com/wiki/Pavement:Feed_Them_To_The_Lions_(Linden)"
"Wowee Zowee (1995)","Woke up to people so tall to you
I can't so I won't stand
Up chuck break luck
Look for the splinters you might see where they come in
Go down, sweet yardley
I won't let you fall down, sweet yardley
I won't let you fall down, here, now
Ah- god damn the guts and the gore
Nobody's crying 'cause there's no one to score for
Come up sweet randy
I won't let you fall, what you got to lose?
What you got to prove?
Who you gonna screw down here? ...now
Here now... I am... here now... I am... here... now...
Your life is about to-to come
Away from the mirror in a rainshed
Generation
Fight this generation (x 15 or so)
Stop right","Fight This Generation","http://lyrics.fandom.com/wiki/Pavement:Fight_This_Generation"
"Crooked Rain, Crooked Rain (1994)","Hey lady, what do you need?
Do you think you'd like to come and bleed with me?
I'd like to invite you to a taste of my chalice
It's a special one, it's made of gold
Passed out on your couch, you left me there, thank you
Let me sleep it off, I need to sleep it off
I need to sleep, why don't you let me?
I need to sleep, why don't you?
I need to sleep, I need to sleep
I need to sleep, I need to sleep, why won't you let me?
I need to sleep, I need to sleep
I need to sleep, I need to sleep, why won't you, why won't you let me sleep?
The jam kids on their vespas and the glum looks on their faces
The street is full of punks, they got spikes
See those rockers with their long, curly locks, goodnight to the rock and roll era
'Cause they don't need you anymore, little girl, boy, girl, boy
Their composures are so distracted, Jasper's skinny arms
And the dance faction, a little too loose for me
Every night it's straight and narrow, laws are broken, amusing era
Round and round and round she goes
Pull out their plugs and they snort up their drugs
When they pull out their plugs and they snort up their drugs
Their throats are filled with","Fillmore Jive","http://lyrics.fandom.com/wiki/Pavement:Fillmore_Jive"
